,,GP,W,D,L,GF,GA,GD,Pts,Form,PPG,CS,FTS
1.0,Liverpool,13,10,1,2,30,14,+16,31,8 Mar Liverpool - Inter Milan 0-1 5 Apr Benfica - Liverpool 1-3 13 Apr Liverpool - Benfica 3-3 27 Apr Liverpool - Villarreal 2-0 3 May Villarreal - Liverpool 2-3 28 May Liverpool - Real Madrid 0-1,2.38,31%,15%
2.0,Real Madrid,13,9,0,4,29,14,+15,27,9 Mar Real Madrid - Paris SG 3-1 6 Apr Chelsea - Real Madrid 1-3 12 Apr Real Madrid - Chelsea 2-3 26 Apr Manchester City - Real Madrid 4-3 4 May Real Madrid - Manchester City 3-1 28 May Liverpool - Real Madrid 0-1,2.08,38%,8%
3.0,Bayern Munich,10,7,2,1,31,7,+24,23,23 Nov Dynamo Kiev - Bayern Munich 1-2 8 Dec Bayern Munich - FC Barcelona 3-0 16 Feb Salzburg - Bayern Munich 1-1 8 Mar Bayern Munich - Salzburg 7-1 6 Apr Villarreal - Bayern Munich 1-0 12 Apr Bayern Munich - Villarreal 1-1,2.30,40%,10%
4.0,Manchester City,12,7,2,3,29,16,+13,23,15 Feb Sporting CP - Manchester City 0-5 9 Mar Manchester City - Sporting CP 0-0 5 Apr Manchester City - Atletico Madrid 1-0 13 Apr Atletico Madrid - Manchester City 0-0 26 Apr Manchester City - Real Madrid 4-3 4 May Real Madrid - Manchester City 3-1,1.92,33%,25%
5.0,Chelsea,10,7,1,2,21,10,+11,22,23 Nov Chelsea - Juventus 4-0 8 Dec Zenit - Chelsea 3-3 22 Feb Chelsea - Lille 2-0 16 Mar Lille - Chelsea 1-2 6 Apr Chelsea - Real Madrid 1-3 12 Apr Real Madrid - Chelsea 2-3,2.20,50%,10%
6.0,Ajax Amsterdam,8,6,1,1,22,8,+14,19,19 Oct Ajax Amsterdam - Dortmund 4-0 3 Nov Dortmund - Ajax Amsterdam 1-3 24 Nov Besiktas - Ajax Amsterdam 1-2 7 Dec Ajax Amsterdam - Sporting CP 4-2 23 Feb Benfica - Ajax Amsterdam 2-2 15 Mar Ajax Amsterdam - Benfica 0-1,2.38,25%,12%
7.0,Villarreal,12,5,3,4,20,16,+4,18,22 Feb Villarreal - Juventus 1-1 16 Mar Juventus - Villarreal 0-3 6 Apr Villarreal - Bayern Munich 1-0 12 Apr Bayern Munich - Villarreal 1-1 27 Apr Liverpool - Villarreal 2-0 3 May Villarreal - Liverpool 2-3,1.50,25%,17%
8.0,Juventus,8,5,1,2,11,10,+1,16,20 Oct Zenit - Juventus 0-1 2 Nov Juventus - Zenit 4-2 23 Nov Chelsea - Juventus 4-0 8 Dec Juventus - Malmo FF 1-0 22 Feb Villarreal - Juventus 1-1 16 Mar Juventus - Villarreal 0-3,2.00,50%,25%
9.0,Paris SG,8,4,2,2,15,11,+4,14,19 Oct Paris SG - RB Leipzig 3-2 3 Nov RB Leipzig - Paris SG 2-2 24 Nov Manchester City - Paris SG 2-1 7 Dec Paris SG - Club Brugge 4-1 15 Feb Paris SG - Real Madrid 1-0 9 Mar Real Madrid - Paris SG 3-1,1.75,25%,0%
10.0,Inter Milan,8,4,1,3,9,7,+2,13,19 Oct Inter Milan - S. Tiraspol 3-1 3 Nov S. Tiraspol - Inter Milan 1-3 24 Nov Inter Milan - Shakhtar 2-0 7 Dec Real Madrid - Inter Milan 2-0 16 Feb Inter Milan - Liverpool 0-2 8 Mar Liverpool - Inter Milan 0-1,1.63,38%,50%
11.0,Benfica,10,3,4,3,14,17,-3,13,23 Nov FC Barcelona - Benfica 0-0 8 Dec Benfica - Dynamo Kiev 2-0 23 Feb Benfica - Ajax Amsterdam 2-2 15 Mar Ajax Amsterdam - Benfica 0-1 5 Apr Benfica - Liverpool 1-3 13 Apr Liverpool - Benfica 3-3,1.30,50%,30%
12.0,Manchester Utd,8,3,3,2,12,10,+2,12,20 Oct Manchester Utd - Atalanta 3-2 2 Nov Atalanta - Manchester Utd 2-2 23 Nov Villarreal - Manchester Utd 0-2 8 Dec Manchester Utd - BSC Young Boys 1-1 23 Feb Atletico Madrid - Manchester Utd 1-1 15 Mar Manchester Utd - Atletico Madrid 0-1,1.50,12%,12%
13.0,Atletico Madrid,10,3,3,4,9,10,-1,12,24 Nov Atletico Madrid - AC Milan 0-1 7 Dec FC Porto - Atletico Madrid 1-3 23 Feb Atletico Madrid - Manchester Utd 1-1 15 Mar Manchester Utd - Atletico Madrid 0-1 5 Apr Manchester City - Atletico Madrid 1-0 13 Apr Atletico Madrid - Manchester City 0-0,1.20,30%,50%
14.0,Lille,8,3,2,3,8,8,0,11,20 Oct Lille - FC Sevilla 0-0 2 Nov FC Sevilla - Lille 1-2 23 Nov Lille - Salzburg 1-0 8 Dec Wolfsburg - Lille 1-3 22 Feb Chelsea - Lille 2-0 16 Mar Lille - Chelsea 1-2,1.38,38%,38%
15.0,Salzburg,8,3,2,3,10,14,-4,11,20 Oct Salzburg - Wolfsburg 3-1 2 Nov Wolfsburg - Salzburg 2-1 23 Nov Lille - Salzburg 1-0 8 Dec Salzburg - FC Sevilla 1-0 16 Feb Salzburg - Bayern Munich 1-1 8 Mar Bayern Munich - Salzburg 7-1,1.38,12%,12%
16.0,Sporting CP,8,3,1,4,14,17,-3,10,19 Oct Besiktas - Sporting CP 1-4 3 Nov Sporting CP - Besiktas 4-0 24 Nov Sporting CP - Dortmund 3-1 7 Dec Ajax Amsterdam - Sporting CP 4-2 15 Feb Sporting CP - Manchester City 0-5 9 Mar Manchester City - Sporting CP 0-0,1.25,25%,38%
17.0,Dortmund,6,3,0,3,10,11,-1,9,15 Sep Besiktas - Dortmund 1-2 28 Sep Dortmund - Sporting CP 1-0 19 Oct Ajax Amsterdam - Dortmund 4-0 3 Nov Dortmund - Ajax Amsterdam 1-3 24 Nov Sporting CP - Dortmund 3-1 7 Dec Dortmund - Besiktas 5-0,1.50,33%,17%
18.0,RB Leipzig,6,2,1,3,15,14,+1,7,15 Sep Manchester City - RB Leipzig 6-3 28 Sep RB Leipzig - Club Brugge 1-2 19 Oct Paris SG - RB Leipzig 3-2 3 Nov RB Leipzig - Paris SG 2-2 24 Nov Club Brugge - RB Leipzig 0-5 7 Dec RB Leipzig - Manchester City 2-1,1.17,17%,0%
19.0,S. Tiraspol,6,2,1,3,7,11,-4,7,15 Sep S. Tiraspol - Shakhtar 2-0 28 Sep Real Madrid - S. Tiraspol 1-2 19 Oct Inter Milan - S. Tiraspol 3-1 3 Nov S. Tiraspol - Inter Milan 1-3 24 Nov S. Tiraspol - Real Madrid 0-3 7 Dec Shakhtar - S. Tiraspol 1-1,1.17,17%,17%
20.0,FC Barcelona,6,2,1,3,2,9,-7,7,14 Sep FC Barcelona - Bayern Munich 0-3 29 Sep Benfica - FC Barcelona 3-0 20 Oct FC Barcelona - Dynamo Kiev 1-0 2 Nov Dynamo Kiev - FC Barcelona 0-1 23 Nov FC Barcelona - Benfica 0-0 8 Dec Bayern Munich - FC Barcelona 3-0,1.17,50%,67%
21.0,FC Sevilla,6,1,3,2,5,5,0,6,14 Sep FC Sevilla - Salzburg 1-1 29 Sep Wolfsburg - FC Sevilla 1-1 20 Oct Lille - FC Sevilla 0-0 2 Nov FC Sevilla - Lille 1-2 23 Nov FC Sevilla - Wolfsburg 2-0 8 Dec Salzburg - FC Sevilla 1-0,1.00,33%,33%
22.0,Atalanta,6,1,3,2,12,13,-1,6,14 Sep Villarreal - Atalanta 2-2 29 Sep Atalanta - BSC Young Boys 1-0 20 Oct Manchester Utd - Atalanta 3-2 2 Nov Atalanta - Manchester Utd 2-2 23 Nov BSC Young Boys - Atalanta 3-3 9 Dec Atalanta - Villarreal 2-3,1.00,17%,0%
23.0,Zenit,6,1,2,3,10,10,0,5,14 Sep Chelsea - Zenit 1-0 29 Sep Zenit - Malmo FF 4-0 20 Oct Zenit - Juventus 0-1 2 Nov Juventus - Zenit 4-2 23 Nov Malmo FF - Zenit 1-1 8 Dec Zenit - Chelsea 3-3,0.83,17%,33%
24.0,BSC Young Boys,6,1,2,3,7,12,-5,5,14 Sep BSC Young Boys - Manchester Utd 2-1 29 Sep Atalanta - BSC Young Boys 1-0 20 Oct BSC Young Boys - Villarreal 1-4 2 Nov Villarreal - BSC Young Boys 2-0 23 Nov BSC Young Boys - Atalanta 3-3 8 Dec Manchester Utd - BSC Young Boys 1-1,0.83,0%,33%
25.0,Wolfsburg,6,1,2,3,5,10,-5,5,14 Sep Lille - Wolfsburg 0-0 29 Sep Wolfsburg - FC Sevilla 1-1 20 Oct Salzburg - Wolfsburg 3-1 2 Nov Wolfsburg - Salzburg 2-1 23 Nov FC Sevilla - Wolfsburg 2-0 8 Dec Wolfsburg - Lille 1-3,0.83,17%,33%
26.0,FC Porto,6,1,2,3,4,11,-7,5,15 Sep Atletico Madrid - FC Porto 0-0 28 Sep FC Porto - Liverpool 1-5 19 Oct FC Porto - AC Milan 1-0 3 Nov AC Milan - FC Porto 1-1 24 Nov Liverpool - FC Porto 2-0 7 Dec FC Porto - Atletico Madrid 1-3,0.83,33%,33%
27.0,AC Milan,6,1,1,4,6,9,-3,4,15 Sep Liverpool - AC Milan 3-2 28 Sep AC Milan - Atletico Madrid 1-2 19 Oct FC Porto - AC Milan 1-0 3 Nov AC Milan - FC Porto 1-1 24 Nov Atletico Madrid - AC Milan 0-1 7 Dec AC Milan - Liverpool 1-2,0.67,17%,17%
28.0,Club Brugge,6,1,1,4,6,20,-14,4,15 Sep Club Brugge - Paris SG 1-1 28 Sep RB Leipzig - Club Brugge 1-2 19 Oct Club Brugge - Manchester City 1-5 3 Nov Manchester City - Club Brugge 4-1 24 Nov Club Brugge - RB Leipzig 0-5 7 Dec Paris SG - Club Brugge 4-1,0.67,0%,17%
29.0,Shakhtar,6,0,2,4,2,12,-10,2,15 Sep S. Tiraspol - Shakhtar 2-0 28 Sep Shakhtar - Inter Milan 0-0 19 Oct Shakhtar - Real Madrid 0-5 3 Nov Real Madrid - Shakhtar 2-1 24 Nov Inter Milan - Shakhtar 2-0 7 Dec Shakhtar - S. Tiraspol 1-1,0.33,17%,67%
30.0,Dynamo Kiev,6,0,1,5,1,11,-10,1,14 Sep Dynamo Kiev - Benfica 0-0 29 Sep Bayern Munich - Dynamo Kiev 5-0 20 Oct FC Barcelona - Dynamo Kiev 1-0 2 Nov Dynamo Kiev - FC Barcelona 0-1 23 Nov Dynamo Kiev - Bayern Munich 1-2 8 Dec Benfica - Dynamo Kiev 2-0,0.17,17%,83%
31.0,Malmo FF,6,0,1,5,1,14,-13,1,14 Sep Malmo FF - Juventus 0-3 29 Sep Zenit - Malmo FF 4-0 20 Oct Chelsea - Malmo FF 4-0 2 Nov Malmo FF - Chelsea 0-1 23 Nov Malmo FF - Zenit 1-1 8 Dec Juventus - Malmo FF 1-0,0.17,0%,83%
32.0,Besiktas,6,0,0,6,3,19,-16,0,15 Sep Besiktas - Dortmund 1-2 28 Sep Ajax Amsterdam - Besiktas 2-0 19 Oct Besiktas - Sporting CP 1-4 3 Nov Sporting CP - Besiktas 4-0 24 Nov Besiktas - Ajax Amsterdam 1-2 7 Dec Dortmund - Besiktas 5-0,0.00,0%,50%
